frame,numero_pers,distance_x,distance_y,distance_z
0,0,-11.823105000000002,180.49228499999998,0
0,1,352.241225,-112.99414,0
0,2,-99.60322,-291.80401,0
0,3,128.3009475,-1252.89545,0
0,4,325.41846,-1125.1186,0
0,5,194.50475,-1163.22995,0
0,6,259.99617,-1200.87655,0
0,7,-160.21441,-1167.9069,0
0,8,-691.4744000000001,-1505.22615,0
0,9,-233.09024,-1149.85815,0
0,10,-316.443815,-1175.9141,0
0,11,-420.75296000000003,-1045.73235,0
0,12,-382.8458,-110.65724,0
0,13,-722.6334,-1214.7699,0
1,0,-12.241805000000003,178.936775,0
1,1,352.368065,-112.89526000000001,0
1,2,-100.45622499999999,-291.9131,0
1,3,128.4022075,-1252.2287000000001,0
1,4,325.45448,-1125.39715,0
1,5,194.54503499999998,-1163.0708,0
1,6,260.09067500000003,-1200.03345,0
1,7,-160.16563,-1167.6086,0
1,8,-691.4069,-1504.77845,0
1,9,-232.953535,-1149.9562500000002,0
1,10,-316.4348,-1175.7608500000001,0
1,11,-421.594865,-1052.8575,0
1,12,-382.8762,-110.83123,0
1,13,-722.5862,-1214.8751,0
2,0,-13.0648375,178.18505499999998,0
2,1,352.2989,-112.991265,0
2,2,-99.86838,-291.290205,0
2,3,126.72884499999999,-1203.14985,0
2,4,325.524155,-1125.8346999999999,0
2,5,194.53975,-1163.3193,0
2,6,260.180585,-1199.6203,0
2,7,-160.180245,-1167.6093,0
2,8,-691.4075,-1504.69965,0
2,9,-233.063125,-1149.95185,0
2,10,-316.446305,-1175.9078,0
2,11,-415.47772499999996,-1001.836725,0
2,12,-382.91687,-111.031075,0
2,13,-722.62616,-1215.1208,0
3,0,-14.1598595,179.534925,0
3,1,352.291965,-112.96856700000001,0
3,2,-100.656845,-291.07799,0
3,3,126.48081499999999,-1203.10735,0
3,4,325.16893,-1124.3310000000001,0
3,5,194.50727,-1163.1171,0
3,6,259.70356000000004,-1200.50105,0
3,7,-160.29315000000003,-1167.6266,0
3,8,-691.46803,-1505.2389,0
3,9,-232.955175,-1149.9729499999999,0
3,10,-316.55242,-1175.89705,0
3,11,-415.872215,-1006.91245,0
3,12,-382.95438,-111.282555,0
3,13,-722.6018,-1215.3044,0
4,0,-14.260661999999998,180.62730499999998,0
4,1,352.274025,-112.912623,0
4,2,-100.681775,-290.335595,0
4,3,128.28121,-1252.3177500000002,0
4,4,325.42406500000004,-1125.3531,0
4,5,194.52883500000002,-1163.0778500000001,0
4,6,259.71903000000003,-1201.22555,0
4,7,-159.98912,-1166.24845,0
4,8,-691.55198,-1505.35025,0
4,9,-232.965645,-1149.9261999999999,0
4,10,-316.56415,-1176.2611499999998,0
4,11,-416.180065,-1010.0194200000001,0
4,12,-382.95987,-111.321556,0
4,13,-722.645,-1215.6313,0
5,0,-14.2071335,180.844115,0
5,1,352.290545,-113.05895799999999,0
5,2,-100.892335,-289.921545,0
5,3,128.44068,-1252.9335,0
5,4,325.473205,-1125.03855,0
5,5,194.55448,-1162.8454000000002,0
5,6,259.90011499999997,-1203.3568,0
5,7,-160.14766,-1166.5836,0
5,8,-691.665825,-1505.3499000000002,0
5,9,-232.94724,-1150.1121,0
5,10,-316.49627999999996,-1176.2813,0
5,11,-415.89883499999996,-1006.0967,0
5,12,-382.97745,-111.34171,0
5,13,-722.6576,-1215.5939,0
6,0,-14.2134925,180.60076,0
6,1,352.29296999999997,-113.12396,0
6,2,-101.04708500000001,-289.9162,0
6,3,128.5663725,-1252.9288000000001,0
6,4,325.348495,-1124.4191999999998,0
6,5,194.5859,-1162.5913500000001,0
6,6,260.90371,-1203.6661,0
6,7,-160.13182,-1166.33195,0
6,8,-691.66215,-1505.3697499999998,0
6,9,-232.94269,-1150.0922,0
6,10,-316.489535,-1176.15985,0
6,11,-415.060135,-999.1695749999999,0
6,12,-382.97406,-111.36289,0
6,13,-722.6622,-1215.8784,0
7,0,-13.8577025,180.52243499999997,0
7,1,352.326465,-113.207645,0
7,2,-101.7655295,-289.5083,0
7,3,128.46614,-1253.0929,0
7,4,325.44009500000004,-1124.84455,0
7,5,194.577595,-1162.28395,0
7,6,260.331185,-1202.6015,0
7,7,-160.03132,-1166.37945,0
7,8,-691.6644,-1505.3757500000002,0
7,9,-232.95526999999998,-1149.87905,0
7,10,-316.59739,-1175.9823000000001,0
7,11,-419.45682999999997,-1038.08315,0
7,12,-382.96954,-111.33891,0
7,13,-722.6739,-1215.6431,0
8,0,-13.712612,180.370805,0
8,1,352.13832,-112.765815,0
8,2,-101.54657499999999,-289.96673499999997,0
8,3,128.461548,-1253.1930499999999,0
8,4,325.34965,-1124.3207,0
8,5,194.573305,-1162.4290999999998,0
8,6,261.232765,-1206.6688,0
8,7,-160.02834000000001,-1166.38385,0
8,8,-691.65,-1505.3935999999999,0
8,9,-232.949415,-1149.7863,0
8,10,-316.637925,-1176.4308500000002,0
8,11,-419.07368499999995,-1031.6153,0
8,12,-382.95758,-111.25368,0
8,13,-722.62646,-1215.941,0
9,0,-13.7637805,180.017515,0
9,1,352.217375,-113.306078,0
9,2,-101.920095,-289.85235,0
9,3,126.507735,-1203.3694,0
9,4,325.383385,-1124.39625,0
9,5,194.54459500000002,-1162.75735,0
9,6,260.87129,-1207.64415,0
9,7,-160.144515,-1166.559,0
9,8,-691.57995,-1504.8575999999998,0
9,9,-232.954185,-1149.81795,0
9,10,-316.58426499999996,-1176.6497,0
9,11,-419.68694,-1037.0444,0
9,12,-382.97565,-111.34584,0
9,13,-722.64484,-1215.8575,0
10,0,-13.759975,180.111955,0
10,1,352.207045,-113.299398,0
10,2,-101.713353,-289.28416,0
10,3,126.4879675,-1203.5365000000002,0
10,4,325.340725,-1124.17945,0
10,5,194.593915,-1162.73715,0
10,6,261.917245,-1209.71715,0
10,7,-160.139615,-1168.2184499999998,0
10,8,-691.58255,-1504.8557,0
10,9,-232.8854,-1149.7309500000001,0
10,10,-316.718665,-1176.8516,0
10,11,-419.626785,-1033.72305,0
10,12,-382.98386,-111.346855,0
10,13,-722.64935,-1215.7941,0
11,0,-13.759511500000002,180.169195,0
11,1,352.2448,-113.392315,0
11,2,-101.72618,-289.28538,0
11,3,126.48329,-1203.4263999999998,0
11,4,324.844695,-1122.7804999999998,0
11,5,194.642765,-1161.82065,0
11,6,261.8686,-1210.38735,0
11,7,-160.03879,-1166.66365,0
11,8,-691.58555,-1504.8636000000001,0
11,9,-232.9592,-1149.8472,0
11,10,-316.73832500000003,-1176.9762500000002,0
11,11,-418.25747,-1025.3779,0
11,12,-382.9818,-111.34942,0
11,13,-722.68286,-1216.0087,0
12,0,-13.7418345,180.467575,0
12,1,352.271755,-113.401145,0
12,2,-101.82765,-289.821905,0
12,3,126.475785,-1203.2793000000001,0
12,4,325.305165,-1124.18995,0
12,5,194.63960500000002,-1162.07745,0
12,6,261.357345,-1210.5951,0
12,7,-160.13458,-1166.4038500000001,0
12,8,-691.4657199999999,-1504.8563,0
12,9,-232.955785,-1149.7485,0
12,10,-331.452575,-1177.0121,0
12,11,-415.35864000000004,-1000.5561500000001,0
12,12,-382.98306,-111.346466,0
12,13,-722.68805,-1216.0872,0
13,0,-13.710901999999999,180.293585,0
13,1,352.154535,-112.381315,0
13,2,-101.7641295,-289.27749,0
13,3,126.37554499999999,-1203.2791,0
13,4,325.31617500000004,-1124.2776,0
13,5,194.59331,-1162.7169,0
13,6,261.14948,-1209.3521,0
13,7,-160.12907,-1166.3002000000001,0
13,8,-691.6643349999999,-1505.4042,0
13,9,-232.96024999999997,-1149.763,0
13,10,-331.455135,-1177.0759,0
13,11,-419.47963000000004,-1033.6799,0
13,12,-382.98447,-111.33697,0
13,13,-722.7781,-1216.0851,0
14,0,-13.738553999999999,180.21381,0
14,1,352.15347499999996,-112.367415,0
14,2,-101.51547,-289.25673,0
14,3,126.38417000000001,-1203.15915,0
14,4,325.31052,-1124.25755,0
14,5,194.637185,-1162.45715,0
14,6,261.164095,-1209.3735000000001,0
14,7,-160.00843,-1166.36515,0
14,8,-691.5528999999999,-1505.4117999999999,0
14,9,-232.953455,-1149.7626500000001,0
14,10,-331.45843,-1177.1147500000002,0
14,11,-418.70612,-1025.8103,0
14,12,-382.97638,-111.32249,0
14,13,-722.8385,-1216.1713,0
15,0,-13.9608275,180.483815,0
15,1,352.331465,-112.69702699999999,0
15,2,-101.67707,-289.103975,0
15,3,126.388702,-1203.1799999999998,0
15,4,325.4015,-1124.57735,0
15,5,194.622115,-1162.1684,0
15,6,261.18829,-1208.13215,0
15,7,-160.03372,-1166.85165,0
15,8,-691.589475,-1504.8896,0
15,9,-232.845175,-1149.783,0
15,10,-331.44169,-1176.8078500000001,0
15,11,-419.649675,-1032.5861,0
15,12,-382.97968,-111.33323,0
15,13,-722.8359,-1216.3942,0
16,0,-14.1250575,180.31808,0
16,1,352.38945,-113.18476100000001,0
16,2,-101.538535,-289.226855,0
16,3,126.38196,-1203.2309,0
16,4,325.34085000000005,-1124.3899999999999,0
16,5,194.60219,-1162.5044,0
16,6,261.732805,-1207.93725,0
16,7,-159.89582000000001,-1166.3869,0
16,8,-691.47235,-1504.8955,0
16,9,-232.959,-1149.72955,0
16,10,-331.45230000000004,-1177.1377,0
16,11,-418.79013,-1026.75545,0
16,12,-382.95825,-111.22784,0
16,13,-722.7897,-1216.414,0
17,0,-14.3365305,179.90737000000001,0
17,1,352.240585,-113.25205199999999,0
17,2,-100.967275,-288.48558,0
17,3,126.266085,-1203.3109,0
17,4,325.39766,-1124.6882500000002,0
17,5,194.620495,-1162.46485,0
17,6,261.47521,-1209.5949,0
17,7,-160.19513,-1167.75485,0
17,8,-691.5672750000001,-1505.43025,0
17,9,-232.943535,-1149.9145,0
17,10,-309.31629999999996,-1177.0995,0
17,11,-418.505865,-1022.4626000000001,0
17,12,-382.9289,-111.16977,0
