frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu
0,1,-16.609375,234.11566162109372,74.0,m6
0,0,-94.38250732421876,-164.8782958984375,74.0,e4
0,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
1,1,-18.0474853515625,229.849365234375,74.0,m6
1,0,-94.38250732421876,-164.8782958984375,74.0,e4
1,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
2,1,-19.490234375,225.56939697265625,74.0,m5
2,0,-94.38250732421876,-164.8782958984375,74.0,e4
2,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
3,1,-19.43994140625,229.849365234375,74.0,m6
3,0,-94.38250732421876,-164.8782958984375,74.0,e4
3,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
4,1,-17.99957275390625,234.11566162109372,74.0,m6
4,0,-94.38250732421876,-164.8782958984375,74.0,e4
4,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
5,1,-16.5638427734375,238.368408203125,74.0,m6
5,0,-94.38250732421876,-164.8782958984375,74.0,e4
5,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
6,1,-16.47314453125,246.8333740234375,74.0,m6
6,0,-94.38250732421876,-164.8782958984375,74.0,e4
6,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
7,1,-16.42803955078125,251.0457763671875,74.0,m6
7,0,-94.38250732421876,-164.8782958984375,74.0,e4
7,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
8,1,-16.38311767578125,255.24481201171875,74.0,m6
8,0,-94.38250732421876,-164.8782958984375,74.0,e4
8,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
9,1,-15.00384521484375,255.24481201171875,74.0,m6
9,0,-94.38250732421876,-164.8782958984375,74.0,e4
9,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
10,1,-15.00384521484375,255.24481201171875,74.0,m6
10,0,-94.38250732421876,-164.8782958984375,74.0,e4
10,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
11,1,-15.00384521484375,255.24481201171875,74.0,m6
11,0,-94.38250732421876,-164.8782958984375,74.0,e4
11,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
12,1,-15.00384521484375,255.24481201171875,74.0,m6
12,0,-94.38250732421876,-164.8782958984375,74.0,e4
12,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
13,1,-16.38311767578125,255.24481201171875,74.0,m6
13,0,-94.38250732421876,-164.8782958984375,74.0,e4
13,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
14,1,-16.38311767578125,255.24481201171875,74.0,m6
14,0,-94.38250732421876,-164.8782958984375,74.0,e4
14,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
15,1,-16.42803955078125,251.0457763671875,74.0,m6
15,0,-94.38250732421876,-164.8782958984375,74.0,e4
15,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
16,1,-16.42803955078125,251.0457763671875,74.0,m6
16,0,-94.38250732421876,-164.8782958984375,74.0,e4
16,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
17,1,-17.85675048828125,246.8333740234375,74.0,m6
17,0,-94.38250732421876,-164.8782958984375,74.0,e4
17,4,-74.57296586990356,-161.6832947357496,10.161919999999993,m3
18,1,-20.62396240234375,246.8333740234375,74.0,m6
